2023-09-11 13:52:04,478 DEBUG   SenderThread:9496 [sender.py:send_request():406] send_request: stop_status
2023-09-11 13:52:08,900 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:09,462 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:13,933 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:14,527 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:18,199 DEBUG   SenderThread:9496 [sender.py:send():379] send: stats
2023-09-11 13:52:19,215 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:19,496 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: stop_status
2023-09-11 13:52:19,496 DEBUG   SenderThread:9496 [sender.py:send_request():406] send_request: stop_status
2023-09-11 13:52:19,605 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:24,652 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:24,934 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:29,763 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:29,998 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:34,498 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: stop_status
2023-09-11 13:52:34,498 DEBUG   SenderThread:9496 [sender.py:send_request():406] send_request: stop_status
2023-09-11 13:52:34,826 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:35,935 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:39,906 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:40,984 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:44,938 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:46,016 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:48,204 DEBUG   SenderThread:9496 [sender.py:send():379] send: stats
2023-09-11 13:52:49,517 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: stop_status
2023-09-11 13:52:49,517 DEBUG   SenderThread:9496 [sender.py:send_request():406] send_request: stop_status
2023-09-11 13:52:49,970 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:51,938 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:55,013 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:52:56,981 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:53:00,060 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:53:02,044 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: status_report
2023-09-11 13:53:04,529 DEBUG   HandlerThread:9496 [handler.py:handle_request():144] handle_request: stop_status
